Numer okręgu,Siedziba OKW,Numer listy,Nazwa,Typ,Numer na liście,Nazwisko,Imiona,Płeć,Zawód,Miejscowość zamieszkania,Kod TERYT,Gmina miejsca zamieszkania,Przynależność do partii,Poparcie,Liczba głosów,Procent głosów oddanych na listę,Procent głosów oddanych w okręgu,Czy przyznano mandat
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,1,ŚMISZEK,Krzysztof Jan,Mężczyzna,prawnik,Warszawa,146506,Ochota,członek partii politycznej: Wiosna Roberta Biedronia,,46698,"52,76","3,57",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,2,LUBINIECKA-RÓŻYŁO,Katarzyna Elżbieta,Kobieta,dziennikarka,Wrocław,026401,m. Wrocław,nie należy do partii politycznej,,11951,"13,50","0,91",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,3,CHOJNOWSKI,Szymon Piotr,Mężczyzna,samorządowiec,Świdnica,021901,m. Świdnica,nie należy do partii politycznej,,6103,"6,89","0,47",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,4,MIGOCZ,Izabela Monika,Kobieta,manager instytucji kultury,Kędzierzyn-Koźle,160301,m. Kędzierzyn-Koźle,nie należy do partii politycznej,,4362,"4,93","0,33",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,5,SYSKA,Michał Jan,Mężczyzna,prawnik,Wrocław,026401,m. Wrocław,członek partii politycznej: Wiosna Roberta Biedronia,,3149,"3,56","0,24",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,6,LEMPART,Marta Mirosława,Kobieta,prawniczka,Wrocław,026401,m. Wrocław,nie należy do partii politycznej,,6061,"6,85","0,46",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,7,PILC,Jarosław Stanisław,Mężczyzna,politolog,Opole,166101,m. Opole,członek partii politycznej: Wiosna Roberta Biedronia,,1557,"1,76","0,12",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,8,ODROWSKA,Katarzyna,Kobieta,kolejarka,Legnica,026201,m. Legnica,nie należy do partii politycznej,,2957,"3,34","0,23",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,9,ZATKA,Natalia Iwona,Kobieta,filolog polski,Jelenia Góra,026101,m. Jelenia Góra,nie należy do partii politycznej,,2793,"3,16","0,21",Nie
12,Wrocław,2,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA,Komitet wyborczy partii politycznej,10,KOTARBA,Mariusz,Mężczyzna,wykładowca akademicki,Wałbrzych,026501,m. Wałbrzych,członek partii politycznej: Wiosna Roberta Biedronia,,2884,"3,26","0,22",Nie
